Year,Album,Song,Time,Minutes,Seconds,Total_time,Duration_by_decimal
1983,Kill 'Em All,Hit The Lights,4:16,4,16,256,0.177777778
1983,Kill 'Em All,The Four Horseman,7:13,7,13,433,0.300694444
1983,Kill 'Em All,Motorbreath,3:08,3,8,188,0.130555556
1983,Kill 'Em All,Jump In The Fire,4:41,4,41,281,0.195138889
1983,Kill 'Em All,(Anesthesia) Pullling Teeth,4:15,4,15,255,0.177083333
1983,Kill 'Em All,Whiplash,4:09,4,9,249,0.172916667
1983,Kill 'Em All,Phantom Lord,5:01,5,1,301,0.209027778
1983,Kill 'Em All,No Remorse,6:27,6,27,387,0.26875
1983,Kill 'Em All,Seek & Destroy,6:55,6,55,415,0.288194444
1983,Kill 'Em All,Metal Militia,5:11,5,11,311,0.215972222
1984,Ride the Lightning,Fight Fire With Fire,4:45,4,45,285,0.197916667
1984,Ride the Lightning,Ride The Lightning,6:37,6,37,397,0.275694444
1984,Ride the Lightning,For Whom The Bell Tolls,5:10,5,10,310,0.215277778
1984,Ride the Lightning,Fade To Black,6:47,6,47,407,0.282638889
1984,Ride the Lightning,Tapped Under Ice,4:04,4,4,244,0.169444444
1984,Ride the Lightning,Escape,4:24,4,24,264,0.183333333
1984,Ride the Lightning,Creeping Death,6:36,6,36,396,0.275
1984,Ride the Lightning,The Call of Ktulu,8:53,8,53,533,0.370138889
1986,Master of Puppets,Battery,5:12,5,12,312,0.216666667
1986,Master of Puppets,Master of Puppets,8:35,8,35,515,0.357638889
1986,Master of Puppets,The Thing That Should Not Be,6:36,6,36,396,0.275
1986,Master of Puppets,Welcome Home,6:27,6,27,387,0.26875
1986,Master of Puppets,Disposable Heroes,8:17,8,17,497,0.345138889
1986,Master of Puppets,Leper Messiah,5:40,5,40,340,0.236111111
1986,Master of Puppets,Orion,8:27,8,27,507,0.352083333
1986,Master of Puppets,"Damage, Inc.",5:32,5,32,332,0.230555556
1988,…And Justice For All,Blackened,6:42,6,42,402,0.279166667
1988,…And Justice For All,…And Justice For All,9:46,9,46,586,0.406944444
1988,…And Justice For All,Eye of the Beholder,6:26,6,26,386,0.268055556
1988,…And Justice For All,One,7:26,7,26,446,0.309722222
1988,…And Justice For All,Shortest Straw,6:35,6,35,395,0.274305556
1988,…And Justice For All,Harvester of Sorrow,5:45,5,45,345,0.239583333
1988,…And Justice For All,The Frayed Ends of Sanity,7:43,7,43,463,0.321527778
1988,…And Justice For All,To Live Is to Die,9:48,9,48,588,0.408333333
1988,…And Justice For All,Dyers Eve,5:13,5,13,313,0.217361111
1991,Metallica (The Black Album),Enter Sandman,5:32,5,32,332,0.230555556
1991,Metallica (The Black Album),Sad But True,5:25,5,25,325,0.225694444
1991,Metallica (The Black Album),Holier Than Thou,3:48,3,48,228,0.158333333
1991,Metallica (The Black Album),The Unforgiven,6:27,6,27,387,0.26875
1991,Metallica (The Black Album),Wherever I May Roam,6:44,6,44,404,0.280555556
1991,Metallica (The Black Album),Don't Tread On Me,4:00,4,0,240,0.166666667
1991,Metallica (The Black Album),Through The Never,4:04,4,4,244,0.169444444
1991,Metallica (The Black Album),Nothing Else Matters,6:29,6,29,389,0.270138889
1991,Metallica (The Black Album),Of Wolf And Man,4:17,4,17,257,0.178472222
1991,Metallica (The Black Album),The God That Failed,5:09,5,9,309,0.214583333
1991,Metallica (The Black Album),My Friend Of Misery,6:50,6,50,410,0.284722222
1991,Metallica (The Black Album),The Struggle Within,3:54,3,54,234,0.1625
1996,Load,Ain't My B*tch,5:04,5,4,304,0.211111111
1996,Load,2 X 4,5:28,5,28,328,0.227777778
1996,Load,The House Jack Built,6:39,6,39,399,0.277083333
1996,Load,Until It Sleeps,4:30,4,30,270,0.1875
1996,Load,King Nothing,5:28,5,28,328,0.227777778
1996,Load,Hero Of The Day,4:22,4,22,262,0.181944444
1996,Load,Bleeding Me,8:18,8,18,498,0.345833333
1996,Load,Cure,4:54,4,54,294,0.204166667
1996,Load,Poor Twisted Me,4:00,4,0,240,0.166666667
1996,Load,Wasting My Hate,3:57,3,57,237,0.164583333
1996,Load,Mama Said,5:20,5,20,320,0.222222222
1996,Load,Thorn Within,5:52,5,52,352,0.244444444
1996,Load,Ronnie,5:17,5,17,317,0.220138889
1996,Load,The Outlaw Torn,9:49,9,49,589,0.409027778
1997,Reload,Fuel,4:30,4,30,270,0.1875
1997,Reload,The Memory Remains,4:39,4,39,279,0.19375
1997,Reload,Devil's Dance,5:19,5,19,319,0.221527778
1997,Reload,The Unforgiven II,6:36,6,36,396,0.275
1997,Reload,Better Than You,5:22,5,22,322,0.223611111
1997,Reload,Slither,5:13,5,13,313,0.217361111
1997,Reload,Carpe Diem Baby,6:12,6,12,372,0.258333333
1997,Reload,Bad Seed,4:05,4,5,245,0.170138889
1997,Reload,Where The Wild Things Are,6:54,6,54,414,0.2875
1997,Reload,Prince Charming,6:05,6,5,365,0.253472222
1997,Reload,Low Man's Lyric,7:37,7,37,457,0.317361111
1997,Reload,Attitude,5:16,5,16,316,0.219444444
1997,Reload,Fixxxer,8:15,8,15,495,0.34375
2003,St. Anger,Frantic,5:50,5,50,350,0.243055556
2003,St. Anger,St. Anger,7:21,7,21,441,0.30625
2003,St. Anger,Some Kind Of Monster,8:26,8,26,506,0.351388889
2003,St. Anger,Dirty Window,5:25,5,25,325,0.225694444
2003,St. Anger,Invisible Kid,8:30,8,30,510,0.354166667
2003,St. Anger,My World,5:46,5,46,346,0.240277778
2003,St. Anger,Shoot Me Again,7:10,7,10,430,0.298611111
2003,St. Anger,Sweet Amber,5:27,5,27,327,0.227083333
2003,St. Anger,The Unnamed Feeling,7:08,7,8,428,0.297222222
2003,St. Anger,Purify,5:14,5,14,314,0.218055556
2003,St. Anger,All Within My Hands,8:46,8,46,526,0.365277778
2008,Death Magnetic,That Was Just Your Life,7:08,7,8,428,0.297222222
2008,Death Magnetic,The End Of The Line,7:52,7,52,472,0.327777778
2008,Death Magnetic,"Broken, Beat & Scarred",6:25,6,35,395,0.267361111
2008,Death Magnetic,The Day That Never Comes,7:56,7,56,476,0.330555556
2008,Death Magnetic,All Nightmare Long,7:57,7,57,477,0.33125
2008,Death Magnetic,Cyanide,6:40,6,40,400,0.277777778
2008,Death Magnetic,The Unforgiven III,7:47,7,47,467,0.324305556
2008,Death Magnetic,The Judas Kiss,8:01,8,1,481,0.334027778
2008,Death Magnetic,Suicide & Redemption,9:58,9,58,598,0.415277778
2008,Death Magnetic,My Apocalypse,5:01,5,1,301,0.209027778
2016,Hardwired… to Self-Destruct,Hardwired,3:11,3,11,191,0.132638889
2016,Hardwired… to Self-Destruct,"Atlas, Rise!",6:29,6,29,389,0.270138889
2016,Hardwired… to Self-Destruct,Now That We're Dead,6:59,6,59,419,0.290972222
2016,Hardwired… to Self-Destruct,Moth Into Flame,5:51,5,51,351,0.24375
2016,Hardwired… to Self-Destruct,Dream No More,6:30,6,30,390,0.270833333
2016,Hardwired… to Self-Destruct,Halo On Fire,8:15,8,15,495,0.34375
2016,Hardwired… to Self-Destruct,Confusion,6:41,6,41,401,0.278472222
2016,Hardwired… to Self-Destruct,ManUNkind,6:56,6,56,416,0.288888889
2016,Hardwired… to Self-Destruct,Here Comes Revenge,7:18,7,18,438,0.304166667
2016,Hardwired… to Self-Destruct,Am I Savage?,6:30,6,30,390,0.270833333
2016,Hardwired… to Self-Destruct,Murder One,5:45,5,45,345,0.239583333
2016,Hardwired… to Self-Destruct,Spit Out The Bone,7:09,7,9,429,0.297916667